Scopus refine results values

"Your query : ((TITLE-ABS-KEY(blockchain) AND TITLE-ABS-KEY(drug supply) OR TITLE-ABS-KEY(drug sales)))"


Number of results : 75

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Adhikari, A.","1","Materials Science","5",,,,,"2019 6th IEEE International Conference On Advances In Computing Communication And Control Icac3 2019","1","Supply Chain Management","10","INFOBEYOND TECHNOLOGY, LLC","1","Ministry of Science and ICT, South Korea","1","United Arab Emirates","2",,,,
,,,,"Afaq, M.","1","Mathematics","9",,,,,"2019 IEEE Conference On Information And Communication Technology Cict 2019","1","Pharmaceutical Industry","9","Gliding Eagle Inc","1","Ministry of Science and Technology of the People's Republic of China","1","Australia","1",,,,
,,,,"Agarwal, S.","1","Medicine","12",,,,,"2019 International Conference On Smart Applications Communications And Networking Smartnets 2019","1","Security","8","IIIT","1","Ministry of Science and Technology, Taiwan","1","Brazil","1",,,,
,,,,"Aggarwal, P.","1","Pharmacology, Toxicology and Pharmaceutics","7",,,,,"2020 6th International Conference On Mobile And Secure Services Mobisecserv 2020","1","Manufacture","7","Center for Supply Chain Studies","1","National Institutes of Health","1","Brunei Darussalam","1",,,,
,,,,"Ahmadi, V.","1","Physics and Astronomy","6",,,,,"2021 IEEE International Conference On Consumer Electronics And Computer Engineering Iccece 2021","1","Smart Contract","7","Instituto de Informtica","1","National Research Foundation of Korea","1","Colombia","1",,,,
,,,,"Ahmed, K.","1","Social Sciences","6",,,,,"ACM Computing Surveys","1","Authentication","6","President and CEO FOX IV Technologies","1","Natural Science Foundation of Hubei Province","1","Croatia","1",,,,
,,,,"Akhtar, M.M.","1",,,,,,,"ACM International Conference Proceeding Series","1","Drug","6","Chief Research Officer Chaintink Research","1","Schizophrenia Research Fund","1","Czech Republic","1",,,,
,,,,"Al-Hammadi, Y.","1",,,,,,,"Acta Informatica Medica","1","Drug Industry","6","Vice President Industry Services","1","U.S. Department of Health and Human Services","1","Denmark","1",,,,
,,,,"Alangot, B.","1",,,,,,,"Advances In Intelligent Systems And Computing","1","Humans","6","QuarkChain Inc.","1","Università di Catania","1","Germany","1",,,,
,,,,"Alawatugoda, J.","1",,,,,,,"Advances In Science Technology And Engineering Systems","1","IoT","6","Chengdu University of Traditional Chinese Medicine","1","World Health Organization","1","Indonesia","1",,,,
,,,,"Alles, M.","1",,,,,,,"Annales De Geographie","1","Cryptography","5","Thapar Institute of Engineering &amp; Technology","1","Undefined","62","Italy","1",,,,
,,,,"Amaya, E.D.","1",,,,,,,"Applied Health Economics And Health Policy","1","Digital Storage","5","Guangdong Polytechnic Normal University","1",,,"Pakistan","1",,,,
,,,,"Anand, R.","1",,,,,,,"Ceur Workshop Proceedings","1","Ethereum","5","Electronics and Telecommunications Research Institute","1",,,"Peru","1",,,,
,,,,"Andola, N.","1",,,,,,,"Chimica Oggi Chemistry Today","1","Traceability","5","Ministry of Education China","1",,,"Philippines","1",,,,
,,,,"Antu, A.D.","1",,,,,,,"Communications In Computer And Information Science","1","Transparency","5","The University of Sheffield","1",,,"Saudi Arabia","1",,,,
,,,,"Archa","1",,,,,,,"Computer","1","Article","4","National Taiwan University","1",,,"Sri Lanka","1",,,,
,,,,"Arshad, J.","1",,,,,,,"Drug Topics","1","Blockchain Technology","4","Yale University","1",,,"Tunisia","1",,,,
,,,,"Asgaonkar, A.","1",,,,,,,"Eai Springer Innovations In Communication And Computing","1","Counterfeit Drug","4","Mayo Clinic","1",,,"Turkey","1",,,,
,,,,"Azeem, M.","1",,,,,,,"European Pharmaceutical Review","1","Counterfeit Medicines","4","Newcastle University, United Kingdom","1",,,"Undefined","11",,,,
,,,,"Bandara, N.","1",,,,,,,"Expert Opinion On Drug Safety","1","Data Privacy","4","Victoria University","1",,,,,,,,
,,,,"Ben Fekih, R.","1",,,,,,,"Global Health Action","1","Drug Products","4","University of Zagreb School of Medicine","1",,,,,,,,
,,,,"Benita, R.","1",,,,,,,"IEEE International Conference On Data Mining Workshops Icdmw","1","Drug Supply Chain","4","National Institutes of Health NIH","1",,,,,,,,
,,,,"Benjelloun, S.","1",,,,,,,"IEEE Region 10 Annual International Conference Proceedings TENCON","1","Hyperledger Fabric","4","China Medical University Taichung","1",,,,,,,,
,,,,"Bhadauria, A.","1",,,,,,,"IEEE Transactions On Emerging Topics In Computing","1","Internet Of Things (IOT)","4","Universidade de Sao Paulo - USP","1",,,,,,,,
,,,,"Borodinov, A.A.","1",,,,,,,"Icbc 2019 IEEE International Conference On Blockchain And Cryptocurrency","1","Losses","4","University of Zagreb","1",,,,,,,,
,,,,"Bryatov, S.R.","1",,,,,,,"Idimt 2020 Digitalized Economy Society And Information Management 28th Interdisciplinary Information Management Talks","1","Privacy","4","Central Michigan University","1",,,,,,,,
,,,,"Budak, A.","1",,,,,,,"International Journal Of Accounting Information Systems","1","Review","4","Università degli Studi di Catania","1",,,,,,,,
,,,,"Burnap, P.","1",,,,,,,"International Journal Of Environmental Research And Public Health","1","Smart Contracts","4","Sechenov First Moscow State Medical University","1",,,,,,,,
,,,,"Celeste, B.","1",,,,,,,"International Journal Of Innovative Technology And Exploring Engineering","1","Technology","4","Vellore Institute of Technology, Vellore","1",,,,,,,,
,,,,"Chandel, S.","1",,,,,,,"International Journal Of Interactive Mobile Technologies","1","Traceability Systems","4","Donghua University","1",,,,,,,,
,,,,"Chaudhary, D.K.","1",,,,,,,"International Journal Of Pharmaceutics","1","Automation","3","Changchun University of Science and Technology","1",,,,,,,,
,,,,"Chen, C.L.","1",,,,,,,"Iop Conference Series Materials Science And Engineering","1","Cloud Computing","3","Danmarks Tekniske Universitet","1",,,,,,,,
,,,,"Chen, P.Z.","1",,,,,,,"Journal Of Intelligent And Fuzzy Systems","1","Commerce","3","Samara National Research University","1",,,,,,,,
,,,,"Chenthara, S.","1",,,,,,,"Journal Of Medical Internet Research","1","Commercial Phenomena","3","Zhejiang Gongshang University","1",,,,,,,,
,,,,"Chi, H.","1",,,,,,,"Lecture Notes Of The Institute For Computer Sciences Social Informatics And Telecommunications Engineering Lnicst","1","Counterfeit","3","Gebze Teknik Üniversitesi","1",,,,,,,,
,,,,"Chiacchio, F.","1",,,,,,,"National Academy Science Letters","1","Developing Countries","3","Brandon University","1",,,,,,,,
,,,,"Chitre, M.","1",,,,,,,"Pain Medicine United States","1","Drug Industries","3","SRM Institute of Science and Technology","1",,,,,,,,
,,,,"Chiu, Y.J.","1",,,,,,,"Peerj Computer Science","1","Drug Marketing","3","UC San Diego School of Medicine","1",,,,,,,,
,,,,"Chong, B.","1",,,,,,,"Pharmaceutical Technology","1","Drug Supply","3","Peking University","1",,,,,,,,
,,,,"Choudhary, D.","1",,,,,,,"Procedia Manufacturing","1","Drug Traceability","3","Prague University of Economics and Business","1",,,,,,,,
,,,,"Compagno, L.","1",,,,,,,"Proceedings 2020 IEEE ACM International Conference On Connected Health Applications Systems And Engineering Technologies Chase 2020","1","Electronic Health Record","3","Loyola University Medical Center","1",,,,,,,,
,,,,"Cortez, M.M.","1",,,,,,,"Proceedings 2020 International Conference On Networking And Network Applications Nana 2020","1","Fake Drugs","3","Chinese Academy of Sciences","1",,,,,,,,
,,,,"Cuomo, R.E.","1",,,,,,,"Proceedings IEEE 2018 International Congress On Cybermatics 2018 IEEE Conferences On Internet Of Things Green Computing And Communications Cyber Physical And Social Computing Smart Data Blockchain Computer And Information Technology Ithings Greencom Cpscom Smartdata Blockchain CIT 2018","1","Healthcare Industry","3","Kennesaw State University","1",,,,,,,,
,,,,"Církovský, T.","1",,,,,,,"Proceedings Of International Conference On Computers And Industrial Engineering CIE","1","Information Processing","3","Yildiz Technical University","1",,,,,,,,
,,,,"D'Urso, D.","1",,,,,,,"Proceedings Of The 9th International Conference On Cloud Computing Data Science And Engineering Confluence 2019","1","International Trade","3","Copenhagen Business School","1",,,,,,,,
,,,,"Dai, Q.","1",,,,,,,"Proceedings Winter Simulation Conference","1","Investment","3","Jamia Millia Islamia","1",,,,,,,,
,,,,"De Aguiar, E.J.","1",,,,,,,"Revue Internationale De Droit Economique","1","Medical Computing","3","Brunel University London","1",,,,,,,,
,,,,"DeFranco, J.","1",,,,,,,"Sensors Switzerland","1","Medical Record","3","University of Louisville","1",,,,,,,,
,,,,"Debe, M.","1",,,,,,,"Times Icon 2019 2019 4th Technology Innovation Management And Engineering Science International Conference","1","Medicine","3","California State University, Northridge","1",,,,,,,,
,,,,"Delgado, D.T.","1",,,,,,,"Transactions On Emerging Telecommunications Technologies","1","Organization And Management","3","Anna University","1",,,,,,,,
,,,,"Deng, Y.Y.","1",,,,,,,"Zhongguo Zhongyao Zazhi","1","Pharmaceutical Company","3","International Business Machines","1",,,,,,,,
,,,,"Dhaneshwar, S.","1",,,,,,,,,"Pharmaceutical Preparations","3","SUNY Oneonta","1",,,,,,,,
,,,,"Duan, J.","1",,,,,,,,,"Pharmaceutical Products","3","Waseda University","1",,,,,,,,
,,,,"Dwivedi, A.D.","1",,,,,,,,,"Pharmaceutical Supply Chain","3","Cardiff University","1",,,,,,,,
,,,,"Edussuriya, C.","1",,,,,,,,,"Sales","3","Nara Institute of Science and Technology","1",,,,,,,,
,,,,"Egan, T.","1",,,,,,,,,"Security Analysis","3","Shanghai Jiao Tong University","1",,,,,,,,
,,,,"El Kik, M.","1",,,,,,,,,"Targeted Drug Delivery","3","Chaoyang University of Technology","1",,,,,,,,
,,,,"Ellahham, S.","1",,,,,,,,,"Access Control","2","University of Chinese Academy of Sciences","1",,,,,,,,
,,,,"Erokhin, A.","1",,,,,,,,,"Anti-counterfeit","2","Liverpool John Moores University","1",,,,,,,,
,,,,"Faiçal, B.S.","1",,,,,,,,,"Anti-counterfeiting","2","Kocaeli Üniversitesi","1",,,,,,,,
,,,,"Fernando, E.","1",,,,,,,,,"Application Area","2","Northeastern University","1",,,,,,,,
,,,,"Fontelo, P.","1",,,,,,,,,"Authorization","2","University of Ottawa, Canada","1",,,,,,,,
,,,,"Fox, R.","1",,,,,,,,,"Biomedicine","2","University of California, San Diego","1",,,,,,,,
,,,,"Garcia, H.M.","1",,,,,,,,,"Block Chain","2","EM Normandie","1",,,,,,,,
,,,,"Ghaffar, A.","1",,,,,,,,,"BlockChain","2","University of Sfax","1",,,,,,,,
,,,,"Ghalib, M.R.","1",,,,,,,,,"Chromium Compounds","2","Ministry of Health of Russian Federation","1",,,,,,,,
,,,,"Gitanjali, J.","1",,,,,,,,,"Cloning","2","Ecole Nationale d'Ingenieurs de Sfax","1",,,,,,,,
,,,,"Gope, P.","1",,,,,,,,,"Computer Security","2","University of Peradeniya","1",,,,,,,,
,,,,"Graciano Neto, V.V.","1",,,,,,,,,"Consensus","2","D.I. Ivanovsky Institute of Virology","1",,,,,,,,
,,,,"Gray, G.L.","1",,,,,,,,,"Consumer","2","University of the Philippines Manila","1",,,,,,,,
,,,,"Gupta, S.","1",,,,,,,,,"Contract","2","UNIVERSITI BRUNEI DARUSSALAM","1",,,,,,,,
,,,,"Gupta, S.","1",,,,,,,,,"Controlled Drug Delivery","2","Hubei University of Arts and Science","1",,,,,,,,
,,,,"Gurmani, M.U.","1",,,,,,,,,"Cost Effectiveness","2","Penn State Great Valley","1",,,,,,,,
,,,,"Hang, L.","1",,,,,,,,,"Counterfeiting","2","Amrita Vishwa Vidyapeetham","1",,,,,,,,
,,,,"Hasan, H.R.","1",,,,,,,,,"Data Security","2","Amrita School of Engineering, Coimbatore","1",,,,,,,,
,,,,"Herjolfsson, G.","1",,,,,,,,,"Diagnosis","2","King Saud bin Abdulaziz University for Health Sciences","1",,,,,,,,
,,,,"Hua, Q.","1",,,,,,,,,"Digitalization","2","Vivekanand Education Society's Institute of Technology","1",,,,,,,,
,,,,"Huang, Y.","1",,,,,,,,,"Distributed Architecture","2","SIFI S.p.A.","1",,,,,,,,
,,,,"Indumathi, J.","1",,,,,,,,,"Distributed Ledger","2","Institut universitaire de cardiologie et de pneumologie de Québec - Université Laval","1",,,,,,,,
,,,,"Jaiswal, A.","1",,,,,,,,,"Distributed Ledger Technology","2","COMSATS University Islamabad","1",,,,,,,,
,,,,"Jamil, F.","1",,,,,,,,,"Distributed Systems","2","Xiamen University of Technology","1",,,,,,,,
,,,,"Jangir, S.","1",,,,,,,,,"Drug Cost","2","Jaipuria Institute of Management, Lucknow","1",,,,,,,,
,,,,"Javaid, N.","1",,,,,,,,,"Drug Counterfeit","2","Jaypee University of Engineering and Technology","1",,,,,,,,
,,,,"Jayaraman, R.","1",,,,,,,,,"Drug Manufacture","2","Birmingham City University","1",,,,,,,,
,,,,"Jayasinghe, U.","1",,,,,,,,,"Drug Packaging","2","Shenzhen Institute of Advanced Technology","1",,,,,,,,
,,,,"Jethani, Y.","1",,,,,,,,,"Drug Safety","2","KCG College of Technology","1",,,,,,,,
,,,,"Ji, K.","1",,,,,,,,,"Drugs","2","College of Chemistry and Molecular Engineering, Peking University","1",,,,,,,,
,,,,"Jiang, Q.","1",,,,,,,,,"Drugs Supply Chain","2","Bina Nusantara University","1",,,,,,,,
,,,,"Justinia, T.","1",,,,,,,,,"EHealth","2","Universidad Peruana de Ciencias Aplicadas","1",,,,,,,,
,,,,"Karaşan, A.","1",,,,,,,,,"Electronic Document Exchange","2","University of Jinan","1",,,,,,,,
,,,,"Kassab, M.H.","1",,,,,,,,,"Electronic Health Records","2","Frankfurt School of Finance and Management","1",,,,,,,,
,,,,"Kaya, I.","1",,,,,,,,,"Electronic Medical Record","2","Tainan University of Technology","1",,,,,,,,
,,,,"Khan, A.B.M.","1",,,,,,,,,"Entire Life Cycles","2","Universidad Distrital Francisco Jose de Caldas","1",,,,,,,,
,,,,"Khan, T.A.","1",,,,,,,,,"Fake Medicines","2","National Institute of Technology Raipur","1",,,,,,,,
,,,,"Kim, D.H.","1",,,,,,,,,"Global Health","2","National Institute of Technology Puducherry","1",,,,,,,,
,,,,"Kim, K.H.","1",,,,,,,,,"Global Trade","2","National Institute of Technology Goa","1",,,,,,,,
,,,,"Koshechkin, K.","1",,,,,,,,,"Government","2","Amrita University, Amritapuri Campus","1",,,,,,,,
,,,,"Kostyuchenko, Y.","1",,,,,,,,,"Health Care Delivery","2","NEOMA Business School","1",,,,,,,,
,,,,"Kumar, A.","1",,,,,,,,,"Health Condition","2","Victoria University Melbourne, Institute of Sustainable Industries and Liveable Cities","1",,,,,,,,
,,,,"Kumar, A.","1",,,,,,,,,"Health Insurance","2","Rutgers Business School—Newark and New Brunswick","1",,,,,,,,
,,,,"Kumar, G.","1",,,,,,,,,"Health Risks","2","Cleveland Clinic Abu Dhabi","1",,,,,,,,
,,,,"Kumar, N.","1",,,,,,,,,"Health Technology","2","Digital Research Centre of Sfax","1",,,,,,,,
,,,,"Kumar, R.","1",,,,,,,,,"Health-care System","2",,,,,,,,,,
,,,,"Kumari, K.","1",,,,,,,,,"Healthcare Domains","2",,,,,,,,,,
,,,,"Lacombe, J.","1",,,,,,,,,"Hospital Data Processing","2",,,,,,,,,,
,,,,"Lahami, M.","1",,,,,,,,,"Identity Management","2",,,,,,,,,,
,,,,"Laplante, P.","1",,,,,,,,,"Information Management","2",,,,,,,,,,
,,,,"Lasmoles, O.","1",,,,,,,,,"Internet","2",,,,,,,,,,
,,,,"Lee, G.M.","1",,,,,,,,,"Interoperability","2",,,,,,,,,,
,,,,"Li, C.T.","1",,,,,,,,,"Licensing","2",,,,,,,,,,
,,,,"Li, Y.","1",,,,,,,,,"Life Cycle","2",,,,,,,,,,
,,,,"Li, Y.","1",,,,,,,,,"Machine Learning","2",,,,,,,,,,
,,,,"Liao, S.W.","1",,,,,,,,,"Management Systems","2",,,,,,,,,,
,,,,"Liao, Y.C.","1",,,,,,,,,"Medical Devices","2",,,,,,,,,,
,,,,"Likić, R.","1",,,,,,,,,"Medical Informatics","2",,,,,,,,,,
,,,,"Litoriya, R.","1",,,,,,,,,"Medical Information","2",,,,,,,,,,
,,,,"Liu, C.Y.","1",,,,,,,,,"Medical Research","2",,,,,,,,,,
,,,,"Liu, F.","1",,,,,,,,,"Network Security","2",,,,,,,,,,
,,,,"Liu, H.","1",,,,,,,,,"Non Repudiation","2",,,,,,,,,,
,,,,"Liu, S.N.","1",,,,,,,,,"Note","2",,,,,,,,,,
,,,,"Long, C.","1",,,,,,,,,"Patient Care","2",,,,,,,,,,
,,,,"Lund, P.","1",,,,,,,,,"Personal Computing","2",,,,,,,,,,
,,,,"Mahore, V.","1",,,,,,,,,"Personalized Medicine","2",,,,,,,,,,
,,,,"Mahtani, P.","1",,,,,,,,,"Pharmaceutical","2",,,,,,,,,,
,,,,"Maitra, S.","1",,,,,,,,,"Pharmaceutical Drugs","2",,,,,,,,,,
,,,,"Malas, T.","1",,,,,,,,,"Pharmaceutical Supply Chain Management","2",,,,,,,,,,
,,,,"Marcelo, A.","1",,,,,,,,,"Pharmacy","2",,,,,,,,,,
,,,,"Mcbeath, B.","1",,,,,,,,,"Prescription","2",,,,,,,,,,
,,,,"Meyliana","1",,,,,,,,,"Prescription Drugs","2",,,,,,,,,,
,,,,"Modi, C.N.","1",,,,,,,,,"Prevention And Control","2",,,,,,,,,,
,,,,"Mohanta, B.K.","1",,,,,,,,,"Privacy By Design","2",,,,,,,,,,
,,,,"Mohsen, N.R.","1",,,,,,,,,"Procedures","2",,,,,,,,,,
,,,,"Molina, J.C.","1",,,,,,,,,"Public Health","2",,,,,,,,,,
,,,,"Mulla, S.","1",,,,,,,,,"Quality Control","2",,,,,,,,,,
,,,,"Murugamantham, B.","1",,,,,,,,,"Radiofrequency Identification","2",,,,,,,,,,
,,,,"Murugan, A.","1",,,,,,,,,"Serialization","2",,,,,,,,,,
,,,,"Musamih, A.","1",,,,,,,,,"Short Survey","2",,,,,,,,,,
,,,,"Muzumdar, A.","1",,,,,,,,,"Standards","2",,,,,,,,,,
,,,,"Nakashima, Y.","1",,,,,,,,,"Supply And Distribution","2",,,,,,,,,,
,,,,"Narikimilli, N.R.S.","1",,,,,,,,,"Supply Chain Managements (SCM)","2",,,,,,,,,,
,,,,"Nayak, A.","1",,,,,,,,,"Technology Solutions","2",,,,,,,,,,
,,,,"Nayak, B.","1",,,,,,,,,"Trust","2",,,,,,,,,,
,,,,"Nayyar, G.","1",,,,,,,,,"Trusted Third Parties","2",,,,,,,,,,
,,,,"Niyas, K.","1",,,,,,,,,"Ubiquitous Computing","2",,,,,,,,,,
,,,,"Padmavathi, U.","1",,,,,,,,,"AHP","1",,,,,,,,,,
,,,,"Pandey, P.","1",,,,,,,,,"Access Control Protocol","1",,,,,,,,,,
,,,,"Patel, M.","1",,,,,,,,,"Access Management","1",,,,,,,,,,
,,,,"Pence, H.E.","1",,,,,,,,,"Access To Information","1",,,,,,,,,,
,,,,"Pham, H.L.","1",,,,,,,,,"Access To Medicines","1",,,,,,,,,,
,,,,"Undefined","4",,,,,,,,,"Accountability","1",,,,,,,,,,
